3m,14d,all,bias3,low,summer,cap,eve,applied,group_by,sb_name,rb_name,rolling,stat,beta,hours_name,hours,gate,th,source_bins,ratio_bins
6.3401386143315195,11.10050942911084,6.3997090383124995,-48.77682569423516,48.85662364643063,34.34662188394294,1.5505500562664434,2.942183623345766,327,"hour,source_ratio_bin,summer",wide,fine,3,median,0.08,night,night,absbias,150,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.340154703155308,11.125926373815403,6.399724925302401,-44.69198978510978,50.049836312543775,36.02078304435854,1.5505500562664434,2.9446944417686596,410,"hour,source_bin",wide,default,8,median,0.25,day,day,wmape,12,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.340155370348999,11.106485222623427,6.3997255841261635,-48.137387176652105,49.11957290360771,34.8694798022361,1.562167931507305,2.9300070928906106,854,"hour,source_bin",wide,default,8,median,0.08,all,all,absbias,100,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.340164144649953,11.083262459546344,6.3997342483537345,-46.310244240982406,48.70580247632098,34.1216977271418,1.5505500562664434,2.9446944417686596,375,"hour,source_ratio_bin,summer",wide,fine,13,mean,0.1,lowday,lowday,wmape,12,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.340167426823622,11.089346350801145,6.399737489352618,-48.55065037577433,49.00665745169614,34.405855671757024,1.5505500562664434,2.9446944417686596,36,"hour,source_ratio_bin,weekend",wide,coarse,8,mean,-0.2,morning,morning,wmape,35,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.340174471124723,11.117816613567667,6.399744445283141,-45.385868242548,49.66961150571853,35.650433951024645,1.5505500562664434,2.9446944417686596,410,"hour,source_bin",wide,default,8,median,0.2,day,day,wmape,12,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.340185535591747,11.090909173495486,6.399755370946707,-50.078255415251434,48.706562789109455,34.156300344549386,1.5505500562664434,2.9446944417686596,268,"hour,source_ratio_bin,weekend",wide,coarse,8,median,-0.15,peakerr,peakerr,wmape,30,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.340192531435488,11.089734812170642,6.3997622790277635,-49.0087249113372,49.005292183921796,34.36177745146887,1.5505500562664434,2.9446944417686596,51,"hour,source_ratio_bin,weekend",wide,coarse,5,mean,-0.15,h789111718,"7-9,11,17,18",wmape,35,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.340192954581335,11.074511113795076,6.399762696865258,-49.8888839925008,48.68112198476175,33.87346440249807,1.5505500562664434,2.9446944417686596,253,"hour,source_ratio_bin,weekend",wide,coarse,21,median,-0.15,peakerr,peakerr,wmape,35,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.340192954581335,11.074511113795076,6.399762696865258,-49.8888839925008,48.68112198476175,33.87346440249807,1.5505500562664434,2.9446944417686596,253,"hour,source_ratio_bin,weekend",wide,coarse,34,median,-0.15,peakerr,peakerr,wmape,35,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.340214671366355,11.090985212042929,6.39978414121376,-47.606253042036556,48.85662364643063,34.34662188394294,1.5505500562664434,2.9446944417686596,20,"hour,source_bin,summer",wide,default,3,median,0.25,night,night,wmape,40,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.340215573420352,11.126565643623325,6.399785031951513,-49.26721833680389,48.85662364643063,34.34662188394294,1.5505500562664434,2.9416631395882886,379,"hour,source_ratio_bin,summer",wide,fine,3,median,0.15,night,night,absbias,100,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.340228048055955,11.12627945086118,6.39979735009313,-46.55435870325344,49.47589795387312,35.22240665260827,1.5505500562664434,2.9357034783287923,726,"hour,source_bin",wide,default,13,mean,0.1,all,all,wmape,10,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.340229074181547,11.110444413599883,6.399798363346002,-46.07948369588607,49.45222137046204,35.20954914284626,1.5505500562664434,2.9446944417686596,451,"hour,source_bin",wide,default,21,mean,0.1,day,day,wmape,12,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
