kind,wmape_3m,wmape_14d,wmape_all,bias_3m,applied,rolling,stat,beta,hours,gate,thr,delta_3m,delta_14d,delta_all
hour,6.325467232695141,11.075924912918591,6.385221708786601,-48.47351408114899,495,34,mean,0.05,10-16,wmape,25,-0.002945010386108393,0.0013090318937560852,-0.002908065305517127
hour,6.325467232695141,11.075924912918591,6.385221708786601,-48.47351408114899,495,34,mean,0.05,10-18,wmape,25,-0.002945010386108393,0.0013090318937560852,-0.002908065305517127
hour,6.325482320058681,11.079976116190558,6.385236606879547,-48.070892019146726,828,21,mean,0.05,10-18,none,0,-0.002929923022568559,0.005360235165722926,-0.002893167212570269
hour,6.32548707594389,11.06649848458918,6.3852413031022985,-50.60318559711972,353,8,median,-0.3,11-15,wmape,15,-0.0029251671373593524,-0.008117396435654456,-0.0028884709898191474
day,6.325493250452893,11.081635571313289,6.385247400152244,-49.18986067805327,644,1,mean,0.05,10-16,none,0,-0.002918992628356598,0.007019690288453617,-0.0028823739398733395
hour,6.3255035050110235,11.065214209840496,6.385257526067202,-50.66388595686791,251,13,median,-0.5,11-15,wmape,25,-0.002908738070225958,-0.009401671184338767,-0.002872248024915258
hour,6.325505164931624,11.074615881024835,6.38525916516414,-50.29702047376124,42,34,mean,-0.2,11-15,absbias,250,-0.0029070781496258746,0.0,-0.002870608927977969
hour,6.325526120926023,11.074615881024835,6.38527985826612,-49.47869860360355,7,8,median,-0.5,11-15,absbias,500,-0.002886122155226545,0.0,-0.0028499158259975843
hour,6.325526120926023,11.074615881024835,6.38527985826612,-49.47869860360355,6,13,median,-0.5,11-15,absbias,500,-0.002886122155226545,0.0,-0.0028499158259975843
hour,6.325526120926023,11.074615881024835,6.38527985826612,-49.47869860360355,6,21,median,-0.5,11-15,absbias,500,-0.002886122155226545,0.0,-0.0028499158259975843
hour,6.325526120926023,11.074615881024835,6.38527985826612,-49.47869860360355,6,34,median,-0.5,11-15,absbias,500,-0.002886122155226545,0.0,-0.0028499158259975843
hour,6.325526120926023,11.074615881024835,6.38527985826612,-49.47869860360355,6,55,median,-0.5,11-15,absbias,500,-0.002886122155226545,0.0,-0.0028499158259975843
day,6.3255342561439,11.074189395446858,6.385287891427896,-49.37222974668428,460,34,mean,0.1,11-15,none,0,-0.0028779869373494193,-0.00042648557797697606,-0.0028418826642218065
hour,6.325555515607492,11.075418684237198,6.385308884192057,-48.34845829020603,491,55,mean,0.05,10-16,wmape,25,-0.0028567274737572035,0.0008028032123625906,-0.002820889900061019
hour,6.325555515607492,11.075418684237198,6.385308884192057,-48.34845829020603,491,55,mean,0.05,10-18,wmape,25,-0.0028567274737572035,0.0008028032123625906,-0.002820889900061019
hour,6.32556236945576,11.074615881024835,6.385315652058972,-51.300902344063985,67,21,median,-0.5,11-15,absbias,100,-0.0028498736254896073,0.0,-0.002814122033146127
day,6.325575005910652,11.074615881024835,6.385328129989857,-50.23226749634731,15,14,mean,0.2,19-23,absbias,250,-0.002837237170597362,0.0,-0.002801644102260248
day,6.325575005910652,11.074615881024835,6.385328129989857,-50.23226749634731,15,21,mean,0.2,19-23,absbias,250,-0.002837237170597362,0.0,-0.002801644102260248
day,6.325575005910652,11.074615881024835,6.385328129989857,-50.23226749634731,15,34,mean,0.2,19-23,absbias,250,-0.002837237170597362,0.0,-0.002801644102260248
hour,6.325575323731819,11.074818042565399,6.385328443823966,-51.31432358096477,460,34,median,-0.3,11-15,none,0,-0.0028369193494306444,0.00020216154056384994,-0.0028013302681513252
hour,6.325581056834263,11.071322781201571,6.3853341050047865,-50.30598557299924,460,13,median,-0.1,11-15,none,0,-0.002831186246986306,-0.0032930998232636455,-0.0027956690873311985
hour,6.325588427057037,11.075924912918591,6.385341382768302,-48.45511689141678,521,34,mean,0.05,10-16,wmape,20,-0.0028238160242128885,0.0013090318937560852,-0.0027883913238158087
hour,6.325588604509688,11.075926235202324,6.3853415579948125,-48.45620486192937,523,34,mean,0.05,10-18,wmape,20,-0.0028236385715612045,0.001310354177489259,-0.002788216097305174
hour,6.325595741152229,11.074264428737207,6.385348605108356,-50.10710236247455,80,13,median,-0.1,11-15,absbias,100,-0.0028165019290202764,-0.00035145228762800684,-0.0027811689837617948
day,6.325621377383323,11.075885010016737,6.3853739197335795,-49.13937516324938,84,1,mean,0.05,7-18,wmape,12,-0.0027908656979267477,0.0012691289919022353,-0.002755854358538201
hour,6.325626546544587,11.073588623727485,6.385379024047849,-50.58156194356947,326,3,mean,-0.1,10-18,wmape,35,-0.0027856965366623854,-0.0010272572973502037,-0.0027507500442682797
hour,6.3256416521649275,11.074615881024835,6.385393940168563,-49.81742577045619,21,21,median,-0.1,11-15,absbias,250,-0.0027705909163220355,0.0,-0.002735833923554587
hour,6.3256416521649275,11.074615881024835,6.385393940168563,-49.81742577045619,21,34,median,-0.1,11-15,absbias,250,-0.0027705909163220355,0.0,-0.002735833923554587
hour,6.3256416521649275,11.074615881024835,6.385393940168563,-49.81742577045619,21,55,median,-0.1,11-15,absbias,250,-0.0027705909163220355,0.0,-0.002735833923554587
day,6.325657700492708,11.075874390395315,6.385409787170479,-49.25606068402045,1104,8,mean,0.05,7-18,none,0,-0.0027545425885415753,0.0012585093704799988,-0.002719986921638551
day,6.3256596584058595,11.074134499406144,6.38541172052166,-49.19174257923298,828,21,mean,0.1,10-18,none,0,-0.0027525846753899685,-0.0004813816186910458,-0.0027180535704580677
hour,6.325662398387694,11.075592819542743,6.385414426130493,-48.65243332408321,438,34,mean,0.05,10-16,wmape,35,-0.0027498446935556586,0.0009769385179083656,-0.002715347961625092
hour,6.325662398387694,11.075592819542743,6.385414426130493,-48.65243332408321,438,34,mean,0.05,10-18,wmape,35,-0.0027498446935556586,0.0009769385179083656,-0.002715347961625092
