kind,wmape_3m,wmape_14d,wmape_all,bias_3m,low,summer_low,cap_spike,evening,applied,rolling,stat,beta,hours,gate,thr,group_by,delta_3m,delta_14d
group,6.320103806771648,11.097867195493345,6.379925566905274,-48.344111352686625,49.029883182934945,34.980292839680985,1.5505500562664434,2.9446944417686596,341,2,median,0.1,10-18,wmape,20,"hour,source_bin",-0.00830843630960132,0.02325131446851003
group,6.3201269940822,11.08412100802082,6.3799484633316,-48.36676387054538,48.8443327823891,34.6324908977091,1.5505500562664434,2.9446944417686596,353,3,median,0.1,10-16,wmape,15,"hour,source_bin",-0.0082852489990497,0.00950512699598427
group,6.320130021971476,11.0872512928636,6.3799514532360835,-48.35102553061661,49.11653980883576,34.99970609014021,1.5505500562664434,2.9446944417686596,1039,8,median,0.1,7-18,none,0,"hour,source_bin",-0.008282221109773502,0.012635411838765265
group,6.320135604199815,11.106505370107643,6.37995696543551,-47.24353393723941,49.33404402957443,35.34288821380029,1.5505500562664434,2.9446944417686596,986,8,mean,0.1,7-18,none,0,"hour,source_bin,weekend",-0.008276638881434373,0.03188948908280764
group,6.320140972785642,11.124082603996813,6.379962266672563,-49.38687305523847,49.76788777346463,35.65744209906981,1.590270338509021,2.920319004959217,2097,8,median,0.2,all,none,0,"hour,source_bin",-0.008271270295607813,0.04946672297197807
group,6.32017094851465,11.07757863167252,6.379991866356812,-48.01534230476279,48.944802124020406,34.68628842300699,1.5505500562664434,2.9446944417686596,602,3,mean,0.05,7-18,absbias,100,"hour,source_ratio_bin",-0.0082412945665995,0.0029627506476845866
group,6.3202039332906885,11.11305346321847,6.380024437339669,-48.44759341981487,49.015418704836385,34.64213274820197,1.574920978297767,2.946788636259258,788,2,mean,0.05,all,absbias,250,"hour,source_ratio_bin",-0.008208309790560975,0.03843758219363558
group,6.3202039332906885,11.11305346321847,6.380024437339669,-48.44759341981487,49.015418704836385,34.64213274820197,1.574920978297767,2.946788636259258,788,2,median,0.05,all,absbias,250,"hour,source_ratio_bin",-0.008208309790560975,0.03843758219363558
group,6.320206777149171,11.107022280091815,6.3800272455220215,-47.42157797384879,49.028730189065854,34.97233529120835,1.5505500562664434,2.9446944417686596,778,2,mean,0.1,10-18,none,0,"hour,source_bin",-0.008205465932078937,0.032406399066980285
group,6.320206777149171,11.107022280091815,6.3800272455220215,-47.42157797384879,49.028730189065854,34.97233529120835,1.5505500562664434,2.9446944417686596,778,2,median,0.1,10-18,none,0,"hour,source_bin",-0.008205465932078937,0.032406399066980285
group,6.320209459913259,11.088785929388383,6.380029894630902,-48.35933216927957,49.11653980883576,34.99970609014021,1.5505500562664434,2.9446944417686596,778,8,median,0.1,10-18,none,0,"hour,source_bin",-0.008202783167990724,0.01417004836354785
group,6.32023403239234,11.105758018171583,6.380054158848858,-47.39572963670236,49.10275178109057,34.97133866305913,1.5505500562664434,2.9446944417686596,441,2,mean,0.1,10-18,absbias,100,"hour,source_bin",-0.008178210688909893,0.031142137146748183
group,6.32023403239234,11.105758018171583,6.380054158848858,-47.39572963670236,49.10275178109057,34.97133866305913,1.5505500562664434,2.9446944417686596,441,2,median,0.1,10-18,absbias,100,"hour,source_bin",-0.008178210688909893,0.031142137146748183
group,6.32028864891775,11.102131837809413,6.3801080902113405,-47.049965189175,49.76788777346463,35.65744209906981,1.5505500562664434,2.9446944417686596,1039,8,median,0.2,7-18,none,0,"hour,source_bin",-0.00812359416349917,0.027515956784577966
group,6.320318924100256,11.095473485978511,6.380137985592449,-47.98831189566075,49.14934611928993,35.015240020434724,1.5505500562664434,2.9446944417686596,313,3,mean,0.1,10-16,wmape,20,"hour,source_bin,weekend",-0.008093318980993303,0.020857604953675946
group,6.320333792162122,11.082007387384959,6.380152667134857,-47.36924809766878,49.79465178092404,35.34630356020114,1.5505500562664434,2.9446944417686596,299,5,median,0.2,10-16,wmape,20,"hour,source_bin,weekend",-0.008078450919127178,0.007391506360123756
