i,j,first_kind,second_kind,wmape_3m,wmape_14d,wmape_all,bias_3m,applied1,applied2,first_rolling,first_stat,first_beta,first_hours,first_gate,first_thr,second_rolling,second_stat,second_beta,second_hours,second_gate,second_thr
2,52,hour,day,6.319027832760388,11.058601192413366,6.3788630909606905,-50.19453594021358,21,75,55,median,-0.5,11-15,absbias,250,3,mean,-0.1,19-23,wmape,10
40,3,hour,hour,6.319039341816198,11.041080010901066,6.378874455635687,-49.528988960868475,72,21,2,median,-0.1,"7-9,11,17,18",wmape,35,21,median,-0.3,11-15,absbias,250
40,4,hour,hour,6.319039341816198,11.041080010901066,6.378874455635687,-49.528988960868475,72,21,2,median,-0.1,"7-9,11,17,18",wmape,35,34,median,-0.3,11-15,absbias,250
40,5,hour,hour,6.319039341816198,11.041080010901066,6.378874455635687,-49.528988960868475,72,21,2,median,-0.1,"7-9,11,17,18",wmape,35,55,median,-0.3,11-15,absbias,250
41,3,hour,hour,6.319039341816198,11.041080010901066,6.378874455635687,-49.528988960868475,72,21,2,mean,-0.1,"7-9,11,17,18",wmape,35,21,median,-0.3,11-15,absbias,250
41,4,hour,hour,6.319039341816198,11.041080010901066,6.378874455635687,-49.528988960868475,72,21,2,mean,-0.1,"7-9,11,17,18",wmape,35,34,median,-0.3,11-15,absbias,250
41,5,hour,hour,6.319039341816198,11.041080010901066,6.378874455635687,-49.528988960868475,72,21,2,mean,-0.1,"7-9,11,17,18",wmape,35,55,median,-0.3,11-15,absbias,250
7,23,hour,hour,6.319043667669735,11.032070724390424,6.378878727221505,-50.787010863233164,80,323,13,median,-0.3,11-15,absbias,100,2,mean,-0.1,7-18,wmape,35
7,24,hour,hour,6.319043667669735,11.032070724390424,6.378878727221505,-50.787010863233164,80,323,13,median,-0.3,11-15,absbias,100,2,median,-0.1,7-18,wmape,35
14,23,hour,hour,6.319072628621165,11.033051254212998,6.378907324858531,-49.93023747795027,21,325,55,median,-0.2,11-15,absbias,250,2,mean,-0.1,7-18,wmape,35
14,24,hour,hour,6.319072628621165,11.033051254212998,6.378907324858531,-49.93023747795027,21,325,55,median,-0.2,11-15,absbias,250,2,median,-0.1,7-18,wmape,35
15,23,hour,hour,6.319072628621165,11.033051254212998,6.378907324858531,-49.93023747795027,21,325,21,median,-0.2,11-15,absbias,250,2,mean,-0.1,7-18,wmape,35
15,24,hour,hour,6.319072628621165,11.033051254212998,6.378907324858531,-49.93023747795027,21,325,21,median,-0.2,11-15,absbias,250,2,median,-0.1,7-18,wmape,35
16,23,hour,hour,6.319072628621165,11.033051254212998,6.378907324858531,-49.93023747795027,21,325,34,median,-0.2,11-15,absbias,250,2,mean,-0.1,7-18,wmape,35
16,24,hour,hour,6.319072628621165,11.033051254212998,6.378907324858531,-49.93023747795027,21,325,34,median,-0.2,11-15,absbias,250,2,median,-0.1,7-18,wmape,35
13,31,hour,day,6.3191291151625055,11.036756810349132,6.378963102777642,-52.33747678411331,460,20,13,median,-0.3,11-15,none,0,5,mean,0.8,19-23,wmape,12
42,0,day,hour,6.319143761401795,11.04270691998165,6.3789775652802305,-50.339089712619405,75,21,3,mean,-0.2,19-23,wmape,10,21,median,-0.5,11-15,absbias,250
42,1,day,hour,6.319143761401795,11.04270691998165,6.3789775652802305,-50.339089712619405,75,21,3,mean,-0.2,19-23,wmape,10,34,median,-0.5,11-15,absbias,250
42,2,day,hour,6.319143761401795,11.04270691998165,6.3789775652802305,-50.339089712619405,75,21,3,mean,-0.2,19-23,wmape,10,55,median,-0.5,11-15,absbias,250
31,13,day,hour,6.319146096502005,11.03688334635142,6.37897987108667,-52.33825967640597,20,460,5,mean,0.8,19-23,wmape,12,13,median,-0.3,11-15,none,0
54,51,day,day,6.319155373396374,10.99842873277762,6.378989031602633,-50.71852549051557,60,20,8,mean,-0.5,19-23,wmape,10,5,mean,1.0,19-23,wmape,12
0,42,hour,day,6.319158065244272,11.04270691998165,6.378991689681368,-50.33989110335657,21,75,21,median,-0.5,11-15,absbias,250,3,mean,-0.2,19-23,wmape,10
1,42,hour,day,6.319158065244272,11.04270691998165,6.378991689681368,-50.33989110335657,21,75,34,median,-0.5,11-15,absbias,250,3,mean,-0.2,19-23,wmape,10
2,42,hour,day,6.319158065244272,11.04270691998165,6.378991689681368,-50.33989110335657,21,75,55,median,-0.5,11-15,absbias,250,3,mean,-0.2,19-23,wmape,10
14,31,hour,day,6.319191526523285,11.043513198134761,6.379024731189485,-50.87624401010571,21,20,55,median,-0.2,11-15,absbias,250,5,mean,0.8,19-23,wmape,12
15,31,hour,day,6.319191526523285,11.043513198134761,6.379024731189485,-50.87624401010571,21,20,21,median,-0.2,11-15,absbias,250,5,mean,0.8,19-23,wmape,12
16,31,hour,day,6.319191526523285,11.043513198134761,6.379024731189485,-50.87624401010571,21,20,34,median,-0.2,11-15,absbias,250,5,mean,0.8,19-23,wmape,12
31,14,day,hour,6.319191526523285,11.043513198134761,6.379024731189485,-50.87624401010571,20,21,5,mean,0.8,19-23,wmape,12,55,median,-0.2,11-15,absbias,250
31,15,day,hour,6.319191526523285,11.043513198134761,6.379024731189485,-50.87624401010571,20,21,5,mean,0.8,19-23,wmape,12,21,median,-0.2,11-15,absbias,250
31,16,day,hour,6.319191526523285,11.043513198134761,6.379024731189485,-50.87624401010571,20,21,5,mean,0.8,19-23,wmape,12,34,median,-0.2,11-15,absbias,250
23,3,hour,hour,6.319212614532628,11.033051254212998,6.379045554650286,-50.0624632506413,325,24,2,mean,-0.1,7-18,wmape,35,21,median,-0.3,11-15,absbias,250
23,4,hour,hour,6.319212614532628,11.033051254212998,6.379045554650286,-50.0624632506413,325,24,2,mean,-0.1,7-18,wmape,35,34,median,-0.3,11-15,absbias,250
23,5,hour,hour,6.319212614532628,11.033051254212998,6.379045554650286,-50.0624632506413,325,24,2,mean,-0.1,7-18,wmape,35,55,median,-0.3,11-15,absbias,250
24,3,hour,hour,6.319212614532628,11.033051254212998,6.379045554650286,-50.0624632506413,325,24,2,median,-0.1,7-18,wmape,35,21,median,-0.3,11-15,absbias,250
24,4,hour,hour,6.319212614532628,11.033051254212998,6.379045554650286,-50.0624632506413,325,24,2,median,-0.1,7-18,wmape,35,34,median,-0.3,11-15,absbias,250
24,5,hour,hour,6.319212614532628,11.033051254212998,6.379045554650286,-50.0624632506413,325,24,2,median,-0.1,7-18,wmape,35,55,median,-0.3,11-15,absbias,250
38,3,hour,hour,6.319226812554432,11.074168340179925,6.379059574558266,-50.37081390438367,460,17,5,median,-0.1,11-15,none,0,21,median,-0.3,11-15,absbias,250
38,4,hour,hour,6.319226812554432,11.074168340179925,6.379059574558266,-50.37081390438367,460,17,5,median,-0.1,11-15,none,0,34,median,-0.3,11-15,absbias,250
38,5,hour,hour,6.319226812554432,11.074168340179925,6.379059574558266,-50.37081390438367,460,17,5,median,-0.1,11-15,none,0,55,median,-0.3,11-15,absbias,250
45,6,day,hour,6.319232637834136,11.049279880940285,6.379065326759985,-51.41451416313045,20,460,5,mean,0.5,19-23,wmape,12,5,median,-0.2,11-15,none,0
3,51,hour,day,6.319238877899544,11.057307826624193,6.37907148854393,-51.18567786940031,21,20,21,median,-0.3,11-15,absbias,250,5,mean,1.0,19-23,wmape,12
