kind,hours,gate,threshold,beta,applied,wmape_3m,wmape_14d,wmape_all,rolling,stat
hourbias,all,absbias,50,0.02,1628,6.005799714880857,10.324210653986222,6.0690632443236465,3,mean
hourbias,all,absbias,50,0.05,1405,6.005822723276487,10.318393990351797,6.069085964079537,21,mean
daybias,peakerr,absbias,250,0.08,156,6.0058243084903635,10.314592381252325,6.069087529406945,3,mean
hourbias,all,absbias,50,0.05,1202,6.005825358652274,10.30956675268296,6.069088566394601,5,median
hourbias,all,wmape,12,0.02,757,6.005829879266226,10.32973796116885,6.069093030297567,2,mean
hourbias,all,wmape,12,0.02,757,6.005829879266226,10.32973796116885,6.069093030297567,2,median
hourbias,peakerr,wmape,50,-0.15,358,6.005832062106066,10.31776970483535,6.069095185753735,8,mean
hourbias,nooneve,none,0,0.03,1564,6.005832366772208,10.324560990464498,6.069095486597848,3,mean
hourbias,all,absbias,700,0.05,152,6.005835877139881,10.335481041975463,6.069098952928048,3,mean
hourbias,all,wmape,12,0.05,589,6.005838025989138,10.306558123524205,6.069101074820046,5,median
hourbias,all,none,0,0.03,2208,6.005839263169317,10.331226274400546,6.06910229647983,3,mean
hourbias,night,absbias,100,0.03,464,6.005840321345679,10.329092375429676,6.069103341381396,1,mean
hourbias,night,absbias,100,0.03,464,6.005840321345679,10.329092375429676,6.069103341381396,1,median
hourbias,all,wmape,10,0.02,853,6.005841439301203,10.333362158660476,6.069104445312198,2,mean
hourbias,all,wmape,10,0.02,853,6.005841439301203,10.333362158660476,6.069104445312198,2,median
daybias,all,absbias,250,0.2,96,6.005843211714971,10.324314618908817,6.06910619549108,8,mean
daybias,all,absbias,250,0.2,96,6.005843211714971,10.324314618908817,6.06910619549108,14,mean
daybias,all,absbias,250,0.2,96,6.005843211714971,10.324314618908817,6.06910619549108,21,mean
daybias,all,absbias,250,0.2,96,6.005843211714971,10.324314618908817,6.06910619549108,30,mean
hourbias,day,wmape,12,0.2,461,6.005846768231912,10.324605983951232,6.069109707391606,34,median
hourbias,lowday,wmape,12,0.2,461,6.005846768231912,10.324605983951232,6.069109707391606,34,median
hourbias,midday,wmape,12,0.2,461,6.005846768231912,10.324605983951232,6.069109707391606,34,median
hourbias,10-16,wmape,12,0.2,461,6.005846768231912,10.324605983951232,6.069109707391606,34,median
hourbias,all,absbias,400,0.03,397,6.005847473722524,10.321474195996034,6.069110404031855,3,mean
hourbias,midday,wmape,12,0.3,455,6.00584792749926,10.329010532290345,6.0691108521159745,21,median
hourbias,nooneve,wmape,12,0.05,626,6.005852834972036,10.32249578520327,6.06911569802463,3,mean
hourbias,nooneve,absbias,50,0.03,1200,6.005853666794643,10.324446988076891,6.0691165194120416,3,mean
hourbias,all,absbias,100,0.05,879,6.005856481637461,10.31659815462368,6.069119298942728,21,mean
hourbias,peakerr,wmape,50,-0.15,417,6.005859931386978,10.318725981325215,6.069122705415224,13,mean
hourbias,peakerr,wmape,12,0.03,553,6.005861149626952,10.341451494574455,6.06912390837241,2,mean
hourbias,peakerr,wmape,12,0.03,553,6.005861149626952,10.341451494574455,6.06912390837241,2,median
hourbias,all,absbias,100,0.05,820,6.005864048405884,10.310093431790266,6.069126770786233,5,median
hourbias,morning,absbias,1000,0.05,23,6.005885989550267,10.321760584771363,6.069148436679515,5,mean
hourbias,7-10,absbias,1000,0.05,23,6.005885989550267,10.321760584771363,6.069148436679515,5,mean
hourbias,peakerr,none,0,0.05,1196,6.005892964997974,10.318366051737362,6.069155324620409,34,mean
hourbias,night,wmape,10,0.05,198,6.005894754171358,10.318675369976392,6.069157091348658,2,mean
hourbias,night,wmape,10,0.05,198,6.005894754171358,10.318675369976392,6.069157091348658,2,median
hourbias,all,none,0,0.02,2208,6.005895041277641,10.336669609865766,6.0691573748532,2,mean
hourbias,all,none,0,0.02,2208,6.005895041277641,10.336669609865766,6.0691573748532,2,median
hourbias,all,absbias,400,0.03,173,6.0058958931848005,10.31273124623347,6.069158216073205,5,median
hourbias,evening,absbias,100,0.2,111,6.005904553143657,10.312294790660491,6.0691667673930985,13,median
hourbias,peakerr,absbias,100,0.05,568,6.005905519899387,10.318435866572228,6.069167722020903,21,mean
hourbias,all,absbias,50,0.03,1628,6.005905786937879,10.331116895964412,6.069167985709403,3,mean
hourbias,night,wmape,8,0.15,299,6.0059099175161865,10.328970565712952,6.06917206446971,5,mean
hourbias,night,absbias,500,0.15,60,6.005909990859167,10.341489892579126,6.069172136892606,5,mean
hourbias,day,wmape,10,0.15,480,6.005910372015859,10.324533142690628,6.069172513267695,34,median
hourbias,all,wmape,12,0.03,793,6.005910495954982,10.326026314911028,6.069172635652005,3,mean
daybias,peakerr,absbias,150,0.3,78,6.005910981403987,10.324314618908817,6.069173115011065,21,mean
daybias,peakerr,absbias,150,0.3,78,6.005910981403987,10.324314618908817,6.069173115011065,30,mean
hourbias,nooneve,absbias,500,0.02,206,6.005911568409761,10.317667919202835,6.069173694652866,3,mean
hourbias,11-15,wmape,10,0.2,438,6.005913240485658,10.32594615731521,6.069175345752615,21,median
hourbias,nooneve,absbias,100,0.02,956,6.005921159977994,10.32094960591456,6.0691831658951205,3,mean
hourbias,nooneve,wmape,5,0.02,1039,6.005926054993358,10.32046050991456,6.069187999502641,3,mean
hourbias,all,wmape,50,-0.15,491,6.005934130125721,10.318725981325215,6.069195973332673,13,mean
hourbias,all,absbias,50,0.05,1402,6.005937113939262,10.315088704078597,6.069198919714349,34,mean
hourbias,lowday,wmape,10,0.2,487,6.005938156749909,10.325747006938633,6.069199949442962,21,median
hourbias,10-16,wmape,10,0.2,487,6.005938156749909,10.325747006938633,6.069199949442962,21,median
hourbias,evening,absbias,400,0.1,57,6.0059403003759595,10.290551684462624,6.0692020661772785,3,median
hourbias,night,wmape,12,0.08,171,6.0059419595405465,10.31313849115386,6.0692037045276885,2,mean
hourbias,night,wmape,12,0.08,171,6.0059419595405465,10.31313849115386,6.0692037045276885,2,median
hourbias,evening,absbias,50,0.08,299,6.0059445768671145,10.315055192148613,6.06920628901996,13,mean
hourbias,all,absbias,500,0.02,277,6.005955154030368,10.319118059646032,6.0692167334929685,3,mean
daybias,11-15,absbias,250,0.3,20,6.0059573226486,10.324314618908817,6.06921887490594,8,mean
daybias,11-15,absbias,250,0.3,20,6.0059573226486,10.324314618908817,6.06921887490594,14,mean
daybias,11-15,absbias,250,0.3,20,6.0059573226486,10.324314618908817,6.06921887490594,21,mean
daybias,11-15,absbias,250,0.3,20,6.0059573226486,10.324314618908817,6.06921887490594,30,mean
daybias,lowday,wmape,10,0.3,91,6.005957393066848,10.330176360480873,6.0692189444407925,3,mean
daybias,10-16,wmape,10,0.3,91,6.005957393066848,10.330176360480873,6.0692189444407925,3,mean
hourbias,all,absbias,400,0.02,589,6.0059579272091845,10.338142077589902,6.069219471882327,1,mean
hourbias,all,absbias,400,0.02,589,6.0059579272091845,10.338142077589902,6.069219471882327,1,median
hourbias,all,wmape,40,-0.2,459,6.005958397034818,10.317331990513276,6.069219935814011,8,mean
hourbias,all,wmape,40,-0.15,513,6.005959018677758,10.31989228456944,6.069220549658456,13,mean
hourbias,nooneve,absbias,500,0.03,152,6.005967699606579,10.323838196642738,6.069229121685246,5,mean
hourbias,all,none,0,0.05,2208,6.005969319742716,10.309938427786912,6.069230721496815,5,median
daybias,all,absbias,250,0.3,96,6.00597651393758,10.324314618908817,6.069237825440688,8,mean
daybias,all,absbias,250,0.3,96,6.00597651393758,10.324314618908817,6.069237825440688,14,mean
daybias,all,absbias,250,0.3,96,6.00597651393758,10.324314618908817,6.069237825440688,21,mean
daybias,all,absbias,250,0.3,96,6.00597651393758,10.324314618908817,6.069237825440688,30,mean
hourbias,all,absbias,400,0.02,397,6.005976988426731,10.317876028752067,6.069238293977384,3,mean
hourbias,nooneve,absbias,700,0.05,51,6.005977628549201,10.311372718871887,6.069238926069533,5,median
hourbias,all,absbias,500,0.03,108,6.005979012397089,10.310187362676256,6.069240292557083,5,median
hourbias,all,absbias,150,0.02,1045,6.005979620385498,10.323191000849588,6.069240892918295,3,mean
hourbias,evening,absbias,150,0.15,124,6.0059826294176855,10.307352477876845,6.069243864202251,13,mean
hourbias,all,absbias,50,0.02,1621,6.005985707773687,10.336704199237404,6.069246903940353,2,mean
hourbias,all,absbias,50,0.02,1621,6.005985707773687,10.336704199237404,6.069246903940353,2,median
hourbias,night,wmape,8,0.1,272,6.005986995333013,10.321306105827347,6.069248175347281,3,mean
hourbias,nooneve,wmape,12,0.02,626,6.005991218886576,10.31630242489282,6.06925234591647,3,mean
daybias,all,absbias,250,0.08,288,6.005991676903455,10.30406629588119,6.069252798187539,3,mean
hourbias,nooneve,wmape,8,0.05,814,6.005996710670962,10.325707080131737,6.069257768806562,3,mean
hourbias,nooneve,absbias,250,0.03,515,6.005997111075139,10.32551397710344,6.069258164187677,3,mean
hourbias,all,absbias,400,0.03,309,6.006003698396064,10.32120850242117,6.0692646688708285,5,mean
hourbias,all,wmape,12,0.03,832,6.006005150542353,10.314410820343848,6.069266102799981,5,mean
hourbias,nooneve,absbias,700,0.02,113,6.0060093150506635,10.321139300090609,6.069270215064639,3,mean
hourbias,all,wmape,12,0.05,832,6.006010061747114,10.315698981978162,6.0692709523938015,5,mean
daybias,peakerr,none,0,0.15,1196,6.00601380082514,10.322739441772358,6.069274644565188,30,mean
daybias,11-15,wmape,10,0.2,65,6.006014744098448,10.306862668394578,6.069275576005157,3,mean
hourbias,midday,wmape,10,0.2,482,6.006014931940568,10.325734965320658,6.069275761490803,21,median
hourbias,night,absbias,50,0.03,543,6.006017867174139,10.32958039124218,6.069278659901943,1,mean
hourbias,night,absbias,50,0.03,543,6.006017867174139,10.32958039124218,6.069278659901943,1,median
hourbias,peakerr,absbias,500,0.05,69,6.006024425243196,10.30816372496414,6.06928513570019,5,median
daybias,11-15,absbias,400,0.08,45,6.006039331832552,10.321679150803572,6.06929985528676,1,mean
daybias,peakerr,absbias,100,0.08,351,6.006042963418415,10.325146317465157,6.069303441314472,3,mean
hourbias,evening,absbias,100,0.1,201,6.0060459505229815,10.302953956956758,6.069306390945886,3,median
hourbias,night,wmape,5,0.03,323,6.006050835285846,10.330299524870098,6.069311214429525,1,mean
