wmape_3m,wmape_14d,wmape_all,mode,window,stat,hours,gate,threshold,alpha,applied,delta_3m,delta_14d
7.065276165121056,13.048755053604449,7.117775651904465,daily,1,mean,all,adv,2,0.55,24,-0.010423506760762535,-0.07767048501968787
7.065276165121056,13.048755053604449,7.117775651904465,daily,1,mean,all,adv,3,0.55,24,-0.010423506760762535,-0.07767048501968787
7.0663352262043695,13.0566466192641,7.11882142709335,daily,1,mean,peakerr,adv,1,0.2,13,-0.009364445677449318,-0.06977891936003644
7.0663352262043695,13.0566466192641,7.11882142709335,daily,1,mean,peakerr,adv,2,0.2,13,-0.009364445677449318,-0.06977891936003644
7.0663352262043695,13.0566466192641,7.11882142709335,daily,1,mean,peakerr,adv,3,0.2,13,-0.009364445677449318,-0.06977891936003644
7.06639817819434,13.057115704352853,7.118883589352204,daily,1,mean,day,adv,1,0.2,8,-0.009301493687479123,-0.06930983427128368
7.06639817819434,13.057115704352853,7.118883589352204,daily,1,mean,day,adv,2,0.2,8,-0.009301493687479123,-0.06930983427128368
7.06639817819434,13.057115704352853,7.118883589352204,daily,1,mean,day,adv,3,0.2,8,-0.009301493687479123,-0.06930983427128368
7.0665843807123885,13.058503187492704,7.119067455964386,daily,1,mean,night,adv,-2,0.4,16,-0.009115291169430328,-0.06792235113143263
7.0665843807123885,13.058503187492704,7.119067455964386,daily,1,mean,night,adv,0,0.4,16,-0.009115291169430328,-0.06792235113143263
7.067188127437869,13.06300199025394,7.119663628702509,daily,1,mean,all,adv,1,0.4,24,-0.008511544443949859,-0.06342354837019748
7.067188127437869,13.06300199025394,7.119663628702509,daily,1,mean,all,adv,2,0.4,24,-0.008511544443949859,-0.06342354837019748
7.067188127437869,13.06300199025394,7.119663628702509,daily,1,mean,all,adv,3,0.4,24,-0.008511544443949859,-0.06342354837019748
7.068021000369044,13.069208120878598,7.120486053263892,daily,2,mean,night,adv,-2,0.2,8,-0.007678671512774571,-0.05721741774553912
7.068021000369044,13.069208120878598,7.120486053263892,daily,2,mean,night,adv,0,0.2,8,-0.007678671512774571,-0.05721741774553912
7.068021000369044,13.069208120878598,7.120486053263892,daily,2,mean,night,adv,1,0.2,8,-0.007678671512774571,-0.05721741774553912
7.068021000369044,13.069208120878598,7.120486053263892,daily,2,mean,night,adv,2,0.2,8,-0.007678671512774571,-0.05721741774553912
