kind,hours,gate,threshold,beta,applied,wmape_3m,wmape_14d,wmape_all,rolling,stat
hourbias,12-13,wmape,30,-0.3,104,6.016498373046702,10.331143161715643,6.079627688094178,2,mean
hourbias,12-13,wmape,30,-0.3,104,6.016498373046702,10.331143161715643,6.079627688094178,2,median
hourbias,lowday,wmape,30,-0.2,305,6.016510326411993,10.350413767196565,6.079639491504803,2,mean
hourbias,10-16,wmape,30,-0.2,305,6.016510326411993,10.350413767196565,6.079639491504803,2,mean
hourbias,lowday,wmape,30,-0.2,305,6.016510326411993,10.350413767196565,6.079639491504803,2,median
hourbias,10-16,wmape,30,-0.2,305,6.016510326411993,10.350413767196565,6.079639491504803,2,median
hourbias,all,absbias,400,0.05,173,6.0165112952775095,10.347349423473565,6.079640448215926,5,median
hourbias,all,wmape,40,-0.3,507,6.01651167680798,10.350761210082927,6.079640824960107,13,mean
hourbias,night,absbias,400,0.05,216,6.016519226049643,10.37352017712405,6.079648279496726,1,mean
hourbias,night,absbias,400,0.05,216,6.016519226049643,10.37352017712405,6.079648279496726,1,median
hourbias,12-13,wmape,25,-0.2,121,6.016535093145382,10.321394294187165,6.079663947540152,3,mean
hourbias,peakerr,wmape,40,-0.05,260,6.016543506751957,10.34170564153815,6.079672255598245,2,mean
hourbias,peakerr,wmape,40,-0.05,260,6.016543506751957,10.34170564153815,6.079672255598245,2,median
hourbias,night,wmape,10,0.1,239,6.016555170643096,10.352210358618583,6.079683773166165,5,mean
hourbias,night,absbias,50,0.05,543,6.016561224784635,10.370407389866847,6.079689751358652,1,mean
hourbias,night,absbias,50,0.05,543,6.016561224784635,10.370407389866847,6.079689751358652,1,median
hourbias,12-13,wmape,50,-0.3,80,6.016575389552855,10.339261964207905,6.079703738430216,3,mean
hourbias,morning,wmape,50,-0.08,35,6.016576701240943,10.321078999871663,6.079705033663209,2,mean
hourbias,7-10,wmape,50,-0.08,35,6.016576701240943,10.321078999871663,6.079705033663209,2,mean
hourbias,8-10,wmape,50,-0.08,35,6.016576701240943,10.321078999871663,6.079705033663209,2,mean
hourbias,morning,wmape,50,-0.08,35,6.016576701240943,10.321078999871663,6.079705033663209,2,median
hourbias,7-10,wmape,50,-0.08,35,6.016576701240943,10.321078999871663,6.079705033663209,2,median
hourbias,8-10,wmape,50,-0.08,35,6.016576701240943,10.321078999871663,6.079705033663209,2,median
hourbias,12-13,wmape,40,-0.3,127,6.0166059193064285,10.340356835556133,6.079733885188803,13,mean
hourbias,day,wmape,10,0.3,482,6.016613913159722,10.358166554895263,6.079741778759408,34,median
hourbias,all,wmape,50,-0.3,414,6.016639344151197,10.332460641583232,6.079766890719743,8,mean
hourbias,12-13,wmape,40,-0.3,114,6.01664799810347,10.329874396243746,6.079775436108404,8,mean
hourbias,night,absbias,250,0.05,324,6.016658288038979,10.369064113032723,6.079785596956931,1,mean
hourbias,night,absbias,250,0.05,324,6.016658288038979,10.369064113032723,6.079785596956931,1,median
