wmape_3m,wmape_14d,wmape_all,hours,metric,threshold,alpha,applied,delta_3m,delta_14d
7.035169146053247,12.80407845250015,7.087455594117112,night,absdiff_le,750.0,-0.1,366,-0.0037443180470466686,-0.048235631504734755
7.035206799953217,12.848664443742056,7.088083506159931,day,absdiff_le,50.0,0.55,104,-0.0037066641470762107,-0.0036496402628287683
7.0352168438680165,12.851004172946324,7.0880934240740725,all,reldiff_le,0.005,0.4,282,-0.0036966202322767927,-0.0013099110585610418
7.035228489061721,12.856940580414703,7.088104923179118,midday,absdiff_le,100.0,0.4,132,-0.0036849750385723468,0.004626496409818159
7.035273013741682,12.849404325562086,7.088148889298099,night,absdiff_le,150.0,0.15,141,-0.003640450358611602,-0.0029097584427990597
7.035295929179039,12.724298083712732,7.088314528945638,peakerr,reldiff_le,0.03,-0.5,409,-0.003617534921254162,-0.12801600029215265
7.035375097499499,12.852007701875662,7.088249692417764,peakerr,ratio_le,0.01,0.7,86,-0.003538366600793985,-0.00030638212922262653
7.035444789500221,12.856401624187741,7.088318510134105,day,absdiff_le,100.0,0.3,150,-0.0034686746000724966,0.004087540182856841
7.035452134945898,12.850484913946778,7.088325763431351,all,ratio_le,0.01,0.3,209,-0.0034613291543950098,-0.0018291700581070103
7.035467069648442,12.822808842550348,7.088340510778432,night,profile_abs_le,750.0,-0.1,144,-0.0034463944518510203,-0.0295052414545367
7.0354897598074295,12.847532311559725,7.088320012784822,midday,ratio_le,0.35,0.15,119,-0.0034237042928637607,-0.00478177244515976
7.035493951686404,12.856016316846802,7.08836705558191,night,absdiff_le,300.0,0.1,211,-0.0034195124138891586,0.0037022328419169526
7.0355428007503065,12.813268448399395,7.088415291835543,day,ratio_le,0.08,-0.5,65,-0.0033706633499868133,-0.03904563560548979
7.035583372725454,12.815883963006183,7.0884553548362925,evening,profile_abs_le,500.0,-0.25,30,-0.0033300913748393057,-0.03643012099870191
7.035586728934058,12.848629451613256,7.088458668941346,night,ratio_le,0.01,1.0,97,-0.00332673516623494,-0.0036846323916286394
7.0355968275370095,12.850184527302014,7.088468640857578,all,absdiff_le,50.0,0.2,277,-0.003316636563283737,-0.0021295567028705165
