rolling,beta,hours,gate,thr,applied,wmape_3m,wmape_14d,wmape_all,bias_3m,delta_3m,delta_14d,delta_all
34,0.2,midday,none,0,552,6.102020895442395,10.644964834936662,6.164578500166865,-38.44760099179515,-0.002702168305890318,0.0006529813122675421,-0.0026682696730357947
1,0.05,midday,wmape,10,54,6.1020309901738425,10.642912234021319,6.1645884682601615,-38.86727782081409,-0.0026920735744431212,-0.0013996196030756636,-0.0026583015797392306
21,0.1,midday,none,0,552,6.102051738896586,10.644183265130684,6.164608956690705,-38.84343901751815,-0.00267132485169963,-0.00012858849371077952,-0.0026378131491959778
34,0.05,peakerr,none,0,1196,6.102063537832569,10.644767860190544,6.164620607609336,-38.814016633067794,-0.0026595259157167206,0.00045600656615008006,-0.002626162230564333
3,1.0,peakerr,wmape,15,13,6.102073753131013,10.624570585610261,6.164630694757121,-40.17194638825451,-0.002649310617272249,-0.01974126801413334,-0.002616075082779723
1,-0.2,midday,wmape,20,6,6.102076385492541,10.624590200582588,6.164633294095741,-38.62364192581755,-0.0026466782557443835,-0.019721653041806064,-0.002613475744159821
34,0.1,day,none,0,644,6.102087304996761,10.64528187346389,6.164644076615057,-38.710301388188874,-0.002635758751524442,0.0009700198394959614,-0.0026026932248433
21,0.1,day,none,0,644,6.102119543044545,10.644736814970843,6.164675910237349,-38.80914627360512,-0.0026035207037402586,0.000424961346448427,-0.002570859602551323
3,0.1,midday,wmape,10,78,6.1022240282854225,10.645526486505927,6.16477908471353,-39.06678944484282,-0.0024990354628631195,0.0012146328815330065,-0.0024676851263709665
8,-0.3,evening,wmape,10,60,6.1022537290655725,10.620810941875858,6.164808412898147,-38.89096903020522,-0.0024693346827131535,-0.023500911748536524,-0.002438356941754094
1,0.2,coremid,wmape,8,110,6.1022595222721545,10.693679147747135,6.1648141334291005,-38.38071378473834,-0.002463541476131148,0.049367294122740546,-0.0024326364108002707
3,0.1,midday,absbias,100,186,6.102260406882564,10.650731247512937,6.164815006942093,-38.619027324992125,-0.0024626568657213355,0.006419393888542402,-0.0024317628978076655
5,0.05,peakerr,absbias,100,351,6.10229125098924,10.647244735450082,6.164845464110232,-38.8010856679663,-0.002431812759045471,0.0029328818256875167,-0.002401305729669012
